,Unnamed: 0,well,sweep,protocol,Rseal,Cm,Rseries,gleak_before,E_leak_before,gleak_after,E_leak_after,R_leftover,QC.R_leftover,E_rev,E_rev_before,E_rev_after,QC.Erev,QC6,QC1,QC4,total before-drug flux,-120mV decay time constant 1,-120mV decay time constant 2,-120mV decay time constant 3,-120mV peak current,selected,passed QC,QC.Erev.spread,Erev_spread,pre-drug leak magnitude,post-drug leak magnitude
28,28,K04,0,staircaseramp1,784670900.0,1.167841e-11,10576770.0,1.7862575488815453,-24.432371498158343,1.1148590256224122,-41.33542139621712,0.1828277403527005,True,-91.96329680985916,-89.1962430518334,-90.70333383378905,True,True,True,True,4215241.304101713,348.8541658961705,63.80949783279003,120.3702153827592,-439.3159805888535,True,False,True,2.00758931045253,69.84458936544846,56.154871452602386
30,30,K15,0,staircaseramp1,2066922000.0,1.753523e-11,17438570.0,0.896433988955962,-42.37148048812704,0.7988848526171127,-37.05238832347128,0.0719577741460923,True,-94.65852445543452,-93.38419690548815,-73.1190573073504,True,True,True,True,8909591.351397745,5000.0,101.8559664156294,105.73851113933397,-601.4969769980858,True,False,True,2.019269702779823,50.572464406295076,46.86920720202212
32,32,K21,0,staircaseramp1,234379400.0,2.026092e-11,17282060.0,5.463630900090041,-19.11797967498508,4.398510322251204,-20.276242398505328,0.122816924914,True,-94.3641011981467,-90.07176227894922,,True,True,True,True,33937968.56661822,357.37996106728104,247.4363726545965,247.4363859978856,-908.2558898736388,True,False,True,3.806122466210255,124.09189206307241,110.86867660072842
34,34,L14,0,staircaseramp1,885927600.0,1.315217e-11,12315860.0,1.610216973465593,-28.97850306318227,1.6129767145451086,-27.462830432788135,0.1189605668311871,True,-95.16440501282509,-91.92280280465204,,True,True,True,True,7081205.837283613,423.457855315412,66.96758347433315,119.6313505161716,-640.9048260815429,True,True,True,2.0859529326942408,65.948965260316,66.07132684017176
36,36,L19,0,staircaseramp1,4683231000.0,1.027849e-11,8696348.0,0.5827732897928429,-51.98306473547697,0.5056432293364369,-50.7992306537501,0.0908371890892541,True,-95.6491656791352,-93.62345860954566,-72.03984031356696,True,True,True,True,4009289.320647128,306.3991493927367,54.14064403577586,105.91934800209302,-476.3811327406696,True,True,True,1.839870841340698,43.0710583497734,39.799271642020486
38,38,M22,0,staircaseramp1,329055500.0,1.682787e-11,11126720.0,3.9513323939042575,-20.08042347950173,3.32139377921394,-29.7657431502846,0.0873939842561527,True,-93.73131270454104,-91.28430214039096,-89.26203992268074,True,True,True,True,13987998.040474627,312.5588034055435,63.90673979932662,113.48915081666657,-960.6523149647776,True,False,True,2.019447771251336,105.1541756750604,94.69923690075271
40,40,M23,0,staircaseramp1,1202663000.0,3.288212e-11,11828720.0,1.500972388797901,-40.09324187073828,1.0696336874742178,-43.28546388167092,0.0305446128639412,True,-95.71438494281948,-95.2008135166492,-78.34002975817432,True,True,True,True,15018148.377891928,1337.3472936703856,119.43981278385272,179.09045815158697,-981.3525311866052,True,True,True,3.369986577158869,64.85009489296807,55.46895618099138
42,42,N05,0,staircaseramp1,3858466000.0,2.062394e-11,11208310.0,0.9229695266407622,-68.19235500267223,0.5595902853286652,-58.73589823416451,0.0226426511573564,True,-93.91540044219464,-93.381180354275,-71.57158092663916,True,True,True,True,19763682.483620677,393.0674361402565,81.61052175433089,143.09819959708895,-1069.181581965903,True,True,True,2.1527559144682726,61.954118038451945,44.41819989871551
44,44,N22,0,staircaseramp1,190300500.0,1.650494e-11,18889720.0,6.368368558151635,-15.15751394005395,4.639545060657372,-27.320756718369484,0.2176690659063809,True,-93.96828436338338,-70.7945497909328,-117.82530464132424,True,True,True,True,11309271.950559704,5000.0,52.703551925372864,58.35913579721701,-605.3172609514492,True,False,True,1.5088625359572632,136.37280825444003,112.07174450695402
46,46,P02,0,staircaseramp1,1277029000.0,9.633841e-12,6343004.0,1.3311363009502422,-40.06787862845798,1.4642372331656155,-34.346245054431854,0.0859484143362032,True,-94.55569576522518,-93.16133191327933,-80.74639095820649,True,True,True,True,4259264.16949829,843.036222964527,60.26785163286908,131.70480677621376,-561.935862926877,True,False,True,3.0244735117433947,61.06549672286375,63.095956649346945
